id,source,category,event_name,severity,action,weight,template,tags,ttp
fg_vpn_001,fortigate,vpn,SSLVPN login success,medium,success,8,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0102043008"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""sslvpn"" user=""{username}"" remip={vpn_remote_ip} tunneltype=""ssl-web"" action=""ssl-login"" status=""success"" msg=""SSL VPN login succeeded""","fortigate,vpn,sslvpn,auth","initial-access"
fg_vpn_002,fortigate,vpn,SSLVPN login failed,high,failed,10,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101039426"" type=""event"" subtype=""vpn"" level=""warning"" vd=""root"" eventtype=""sslvpn"" user=""{username}"" remip={vpn_remote_ip} tunneltype=""ssl-web"" action=""ssl-login"" status=""failed"" reason=""invalid-password"" msg=""SSL VPN login failed""","fortigate,vpn,sslvpn,auth-fail","credential-access"
fg_vpn_003,fortigate,vpn,SSLVPN logout,low,logout,6,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0102043040"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""sslvpn"" user=""{username}"" remip={vpn_remote_ip} tunneltype=""ssl-web"" action=""ssl-logout"" status=""success"" msg=""SSL VPN logout""","fortigate,vpn,sslvpn,logout","defense-evasion"
fg_vpn_004,fortigate,vpn,SSLVPN tunnel up,medium,up,7,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101039424"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""sslvpn"" user=""{username}"" remip={vpn_remote_ip} tunnelid={opid} tunneltype=""ssl-web"" action=""tunnel-up"" status=""success"" msg=""SSL VPN tunnel established""","fortigate,vpn,sslvpn,tunnel","lateral-movement"
fg_vpn_005,fortigate,vpn,SSLVPN tunnel down,medium,down,7,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101039425"" type=""event"" subtype=""vpn"" level=""warning"" vd=""root"" eventtype=""sslvpn"" user=""{username}"" remip={vpn_remote_ip} tunnelid={opid} tunneltype=""ssl-web"" action=""tunnel-down"" status=""closed"" msg=""SSL VPN tunnel closed""","fortigate,vpn,sslvpn,tunnel","defense-evasion"
fg_vpn_006,fortigate,vpn,IPsec phase1 up,medium,up,8,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037138"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" tunnelid={opid} remip={vpn_remote_ip} action=""tunnel-up"" status=""up"" msg=""IPsec tunnel established""","fortigate,vpn,ipsec,phase1","command-and-control"
fg_vpn_007,fortigate,vpn,IPsec phase1 down,high,down,9,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037136"" type=""event"" subtype=""vpn"" level=""warning"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" tunnelid={opid} remip={vpn_remote_ip} action=""dpd-failure"" status=""down"" reason=""peer-timeout"" msg=""IPsec DPD failure""","fortigate,vpn,ipsec,phase1","command-and-control"
fg_vpn_008,fortigate,vpn,IPsec phase2 up,medium,up,8,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037139"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" tunnelid={opid} remip={vpn_remote_ip} action=""phase2-up"" status=""up"" msg=""IPsec Phase2 established""","fortigate,vpn,ipsec,phase2","command-and-control"
fg_vpn_009,fortigate,vpn,IPsec phase2 down,high,down,9,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037139"" type=""event"" subtype=""vpn"" level=""warning"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" tunnelid={opid} remip={vpn_remote_ip} action=""phase2-down"" status=""down"" reason=""quick-mode-timeout"" msg=""IPsec Phase2 down""","fortigate,vpn,ipsec,phase2","command-and-control"
fg_vpn_010,fortigate,vpn,IPsec peer auth failed,high,failed,10,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037121"" type=""event"" subtype=""vpn"" level=""alert"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" remip={vpn_remote_ip} action=""peer-auth-failed"" status=""failed"" reason=""psk-mismatch"" msg=""IPsec peer authentication failed""","fortigate,vpn,ipsec,auth-fail","credential-access"
fg_vpn_011,fortigate,vpn,IKE negotiation failed,high,failed,9,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037120"" type=""event"" subtype=""vpn"" level=""warning"" vd=""root"" eventtype=""ipsec"" remip={vpn_remote_ip} action=""ike-negotiate"" status=""failed"" reason=""proposal-mismatch"" msg=""IKE negotiation failed""","fortigate,vpn,ike,failed","initial-access"
fg_vpn_012,fortigate,vpn,IPsec rekey,medium,rekey,6,"date={date} time={time} devname=""{fortigate_hostname}"" devid=""{fortigate_serial}"" logid=""0101037141"" type=""event"" subtype=""vpn"" level=""notice"" vd=""root"" eventtype=""ipsec"" tunneltype=""ipsec"" tunnelid={opid} remip={vpn_remote_ip} action=""stats"" status=""success"" msg=""IPsec tunnel stats update""","fortigate,vpn,ipsec,rekey","defense-evasion"
